Date : 2025-08-26 16:23:23
Directory : c:\Users\ashis\quizzy
Total : 184 files,  20958 codes, 512 comments, 3252 blanks, all 24722 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\quizzy\quiz-app\tsconfig.json                               | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\ashis\quizzy\quiz-app\utils\schema.ts                             | TypeScript         |         36 |          0 |          9 |         45 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle.config.js                       | JavaScript         |         10 |          0 |          2 |         12 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\0000_reflective_ser_duncan.sql  | MS SQL             |         40 |          5 |          0 |         45 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\0001_funny_nova.sql             | MS SQL             |          1 |          0 |          0 |          1 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\0002_whole_krista_starr.sql     | MS SQL             |         19 |          2 |          0 |         21 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\0003_powerful_madame_masque.sql | MS SQL             |          9 |          0 |          0 |          9 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\0000_snapshot.json         | JSON               |        301 |          0 |          0 |        301 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\0001_snapshot.json         | JSON               |        308 |          0 |          0 |        308 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\0002_snapshot.json         | JSON               |        439 |          0 |          0 |        439 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\0003_snapshot.json         | JSON               |        455 |          0 |          0 |        455 |
| c:\Users\ashis\quizzy\quiz-backend\drizzle\meta\_journal.json              | JSON               |         34 |          0 |          0 |         34 |
| c:\Users\ashis\quizzy\quiz-backend\package.json                            | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\ashis\quizzy\quiz-backend\pnpm-lock.yaml                          | YAML               |      3,750 |          0 |        972 |      4,722 |
| c:\Users\ashis\quizzy\quiz-backend\quiz-data.json                          | JSON               |         41 |          0 |          2 |         43 |
| c:\Users\ashis\quizzy\quiz-backend\src\ai\agents\airaAgent.ts              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-backend\src\ai\agents\conversationalAgent.ts    | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-backend\src\ai\agents\knowledgeBaseAgent.ts     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-backend\src\ai\parsedoc\doc.ts                  | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\ashis\quizzy\quiz-backend\src\ai\pinecone.ts                      | TypeScript         |         86 |         14 |          9 |        109 |
| c:\Users\ashis\quizzy\quiz-backend\src\app.ts                              | TypeScript         |         38 |          9 |          9 |         56 |
| c:\Users\ashis\quizzy\quiz-backend\src\config\clerk\clerk.ts               | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\ashis\quizzy\quiz-backend\src\config\db\index.ts                  | TypeScript         |         15 |          0 |          7 |         22 |
| c:\Users\ashis\quizzy\quiz-backend\src\config\db\schema.ts                 | TypeScript         |         73 |          0 |         16 |         89 |
| c:\Users\ashis\quizzy\quiz-backend\src\controllers\auth.controller.js      | JavaScript         |          0 |         45 |          7 |         52 |
| c:\Users\ashis\quizzy\quiz-backend\src\controllers\auth.controller.ts      | TypeScript         |          0 |         40 |          6 |         46 |
| c:\Users\ashis\quizzy\quiz-backend\src\controllers\notionController.ts     | TypeScript         |        105 |          0 |         19 |        124 |
| c:\Users\ashis\quizzy\quiz-backend\src\controllers\quiz.controller.js      | JavaScript         |         92 |          0 |         14 |        106 |
| c:\Users\ashis\quizzy\quiz-backend\src\controllers\quiz.controller.ts      | TypeScript         |        136 |          0 |         22 |        158 |
| c:\Users\ashis\quizzy\quiz-backend\src\controllers\result.controller.js    | JavaScript         |         65 |          1 |         10 |         76 |
| c:\Users\ashis\quizzy\quiz-backend\src\middlewares\upload.middleware.js    | JavaScript         |         27 |          0 |          7 |         34 |
| c:\Users\ashis\quizzy\quiz-backend\src\routes\auth.routes.js               | JavaScript         |          0 |          6 |          2 |          8 |
| c:\Users\ashis\quizzy\quiz-backend\src\routes\auth.routes.ts               | TypeScript         |          0 |          7 |          4 |         11 |
| c:\Users\ashis\quizzy\quiz-backend\src\routes\notion.route.ts              | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\ashis\quizzy\quiz-backend\src\routes\quiz.routes.js               | JavaScript         |          0 |         44 |          6 |         50 |
| c:\Users\ashis\quizzy\quiz-backend\src\routes\quiz.routes.ts               | TypeScript         |          0 |         20 |          5 |         25 |
| c:\Users\ashis\quizzy\quiz-backend\src\routes\result.routes.js             | JavaScript         |          0 |          8 |          7 |         15 |
